date,尖峰負載(MW),備轉容量(MW),備轉容量率(%),淨尖峰供電能力(MW),日期,year,month,day
20,29645.0,1844.0,6.22,31489.0,2019-03-20,2019,3,2
21,30343.0,1967.0,6.48,32310.0,2019-03-21,2019,3,3
22,29618.0,2341.0,7.9,31959.0,2019-03-22,2019,3,4
23,25265.0,2084.0,8.25,27349.0,2019-03-23,2019,3,5
24,24812.0,1859.0,7.49,26671.0,2019-03-24,2019,3,6
25,28535.0,1853.0,6.49,30388.0,2019-03-25,2019,3,0
26,28756.0,1887.0,6.56,30643.0,2019-03-26,2019,3,1
27,29140.0,1933.0,6.63,31073.0,2019-03-27,2019,3,2
28,30093.0,1892.0,6.29,31985.0,2019-03-28,2019,3,3
29,29673.0,2054.0,6.92,31727.0,2019-03-29,2019,3,4
30,25810.0,2155.0,8.35,27965.0,2019-03-30,2019,3,5
